,AGE,AT_2000_F,AT_2000_M,AT_49_F,AT_49_M,AT_83_F,AT_83_M
0,0,0.001794,0.002311,0.00321,0.00404,0.001835,0.0026899999999999997
1,1,0.000755,0.000906,0.0013599999999999999,0.00158,0.000778,0.001053
2,2,0.000392,0.000504,0.0007030000000000001,0.0008869999999999999,0.00040199999999999996,0.000591
3,3,0.00029,0.000408,0.000521,0.000715,0.000298,0.00047599999999999997
4,4,0.00023199999999999997,0.000357,0.00041900000000000005,0.000627,0.00023999999999999998,0.000417
5,5,0.00018899999999999999,0.000324,0.000339,0.000566,0.000194,0.000377
6,6,0.000156,0.000301,0.000278,0.000526,0.00016,0.00035
7,7,0.000131,0.000286,0.000234,0.0005,0.000134,0.000333
8,8,0.000131,0.000328,0.000207,0.000487,0.000134,0.000352
9,9,0.000134,0.000362,0.000193,0.000482,0.000136,0.000368
10,10,0.00014,0.00039,0.00019099999999999998,0.00048300000000000003,0.00014099999999999998,0.00038199999999999996
11,11,0.000148,0.000413,0.00020800000000000001,0.000492,0.000147,0.000394
12,12,0.00015800000000000002,0.00043099999999999996,0.000225,0.000502,0.000155,0.000405
13,13,0.00016999999999999999,0.000446,0.000242,0.000512,0.000165,0.00041500000000000006
14,14,0.000183,0.000458,0.00026000000000000003,0.000524,0.000175,0.000425
15,15,0.000197,0.00047000000000000004,0.000278,0.000537,0.000188,0.00043499999999999995
16,16,0.000212,0.000481,0.000296,0.000551,0.00020099999999999998,0.000446
17,17,0.00022799999999999999,0.000495,0.000315,0.000567,0.00021400000000000002,0.000458
18,18,0.000244,0.0005099999999999999,0.000334,0.000584,0.000229,0.000472
19,19,0.00026000000000000003,0.000528,0.000354,0.000603,0.000244,0.000488
20,20,0.000277,0.000549,0.000376,0.000624,0.00026000000000000003,0.000505
21,21,0.000294,0.000573,0.000398,0.000648,0.000276,0.000525
22,22,0.000312,0.000599,0.000421,0.000674,0.000293,0.000546
23,23,0.00033,0.000627,0.000446,0.0007019999999999999,0.00031099999999999997,0.00057
24,24,0.000349,0.000657,0.00047300000000000006,0.000733,0.00033,0.000596
25,25,0.000367,0.000686,0.0005009999999999999,0.000768,0.000349,0.0006219999999999999
26,26,0.00038500000000000003,0.000714,0.000531,0.0008060000000000001,0.000368,0.00065
27,27,0.00040300000000000004,0.0007379999999999999,0.000563,0.000849,0.00038700000000000003,0.000677
28,28,0.00041900000000000005,0.000758,0.000598,0.0008960000000000001,0.000405,0.000704
29,29,0.00043499999999999995,0.0007740000000000001,0.0006360000000000001,0.000947,0.00042300000000000004,0.000731
30,30,0.00045,0.000784,0.000677,0.001004,0.00044100000000000004,0.000759
31,31,0.000463,0.000789,0.000721,0.001067,0.00045999999999999996,0.000786
32,32,0.00047599999999999997,0.000789,0.0007700000000000001,0.0011359999999999999,0.000479,0.000814
33,33,0.000488,0.00079,0.000822,0.001213,0.000499,0.000843
34,34,0.0005,0.000791,0.0008789999999999999,0.001297,0.000521,0.0008759999999999999
35,35,0.000515,0.000792,0.000942,0.001391,0.000545,0.000917
36,36,0.000534,0.000794,0.00101,0.0014939999999999999,0.0005740000000000001,0.000968
37,37,0.000558,0.0008230000000000001,0.001085,0.001607,0.000607,0.001032
38,38,0.00059,0.000872,0.001167,0.0017329999999999997,0.000646,0.001114
39,39,0.00063,0.0009449999999999999,0.001256,0.001872,0.000691,0.001216
40,40,0.000677,0.0010429999999999999,0.001355,0.002025,0.000742,0.001341
41,41,0.000732,0.001168,0.001464,0.0022199999999999998,0.000801,0.001492
42,42,0.000796,0.001322,0.001583,0.0024809999999999997,0.000867,0.001673
43,43,0.000868,0.001505,0.001715,0.002804,0.000942,0.0018859999999999999
44,44,0.00095,0.001715,0.001859,0.003187,0.001026,0.002129
45,45,0.0010429999999999999,0.001948,0.002019,0.003625,0.0011220000000000002,0.0023989999999999997
46,46,0.0011480000000000001,0.002198,0.002196,0.004116,0.001231,0.002693
47,47,0.001267,0.002463,0.002391,0.004657,0.001356,0.003009
48,48,0.0014,0.00274,0.002606,0.005246,0.0014990000000000001,0.003343
49,49,0.0015480000000000001,0.0030280000000000003,0.002845,0.00588,0.001657,0.003694
50,50,0.0017100000000000001,0.0033299999999999996,0.003109,0.0065569999999999995,0.00183,0.004057
51,51,0.001888,0.003647,0.003361,0.007277,0.002016,0.004431
52,52,0.002079,0.00398,0.0036420000000000003,0.008038,0.002215,0.0048119999999999994
53,53,0.002286,0.004331000000000001,0.0039570000000000004,0.00884,0.002426,0.0051979999999999995
54,54,0.002507,0.004698,0.0043100000000000005,0.009682,0.00265,0.005591
55,55,0.002746,0.005077,0.004705,0.010565,0.002891,0.005994
56,56,0.003003,0.005465,0.005146,0.011491,0.003151,0.006409000000000001
57,57,0.00328,0.005861,0.00564,0.012459999999999999,0.003432,0.0068390000000000005
58,58,0.003578,0.006265,0.006193,0.013475999999999998,0.003739,0.0072900000000000005
59,59,0.003907,0.006693999999999999,0.006812,0.014542,0.004081,0.007781999999999999
60,60,0.004277,0.00717,0.007504,0.015662,0.0044670000000000005,0.008338
61,61,0.004699,0.007714,0.008278,0.016869,0.004908,0.008983
62,62,0.005181,0.008348000000000001,0.009144,0.018199,0.005413,0.00974
63,63,0.005732,0.009093,0.010112000000000001,0.019666,0.00599,0.01063
64,64,0.006347,0.009968000000000001,0.011195,0.021283,0.006633,0.011664
65,65,0.007017,0.010993000000000001,0.012406,0.023066,0.007336,0.012851
66,66,0.007734,0.012188,0.013759,0.02503,0.00809,0.014199000000000002
67,67,0.008491,0.013572,0.015271999999999999,0.027193000000000002,0.008888,0.015717
68,68,0.009288,0.01516,0.016963,0.029577,0.009731,0.017414
69,69,0.010163,0.016946,0.018853,0.032202,0.010653,0.019296
70,70,0.011165000000000001,0.01892,0.020964,0.035092,0.011696999999999999,0.021371
71,71,0.012339,0.021071,0.023321,0.038272,0.012905000000000002,0.023647
72,72,0.013734,0.023388,0.025954,0.041770999999999996,0.014319,0.026131
73,73,0.015391,0.025870999999999998,0.028892,0.04562,0.01598,0.028835000000000003
74,74,0.017325999999999998,0.028551999999999998,0.032171,0.049852,0.017909,0.031794
75,75,0.019551,0.031477,0.035829,0.054501,0.020127000000000003,0.035046
76,76,0.022075,0.034686,0.039907,0.059609,0.022654,0.038631
77,77,0.024909999999999998,0.038225,0.044451,0.065216,0.025509,0.042587
78,78,0.028074,0.042132,0.049513,0.071368,0.028717000000000003,0.046951
79,79,0.031612,0.046426999999999996,0.055147,0.078113,0.032327999999999996,0.051754999999999995
